ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ECU,Ecuador,Climate Watch,Energy,All GHG,MtCO₂e,39.7,46.07,46.37,44.97,46.65,48.0,48.46,45.79,43.13,43.46,43.49,40.45,38.07,37.31,37.48,35.67,33.79,30.75,29.77,30.4,27.53,26.95,29.68,30.33,29.37,26.11,24.19,21.66,20.75,19.39,18.96
EGY,Egypt,Climate Watch,Energy,All GHG,MtCO₂e,219.12,226.21,244.53,248.62,237.22,228.61,223.32,218.23,219.8,210.36,204.49,202.69,198.6,190.28,178.41,170.55,151.54,141.02,135.73,133.37,121.16,125.21,119.98,116.07,109.85,105.21,99.69,104.29,100.71,100.38,98.83
ERI,Eritrea,Climate Watch,Energy,All GHG,MtCO₂e,0.77,0.76,0.74,0.67,0.66,0.65,0.65,0.65,0.68,0.68,0.62,0.58,0.56,0.62,0.63,0.69,0.8,0.83,0.82,0.83,0.76,0.77,0.73,1.02,1.06,0.98,0.91,0.83,0.63,0.0,0.0
ESP,Spain,Climate Watch,Energy,All GHG,MtCO₂e,199.04,237.8,253.77,260.24,243.64,253.05,238.09,241.17,267.03,271.52,268.57,282.46,315.67,343.91,330.94,339.65,325.16,308.43,302.94,285.46,284.22,269.42,247.88,241.47,223.59,233.79,222.7,213.96,228.01,216.1,208.49
EST,Estonia,Climate Watch,Energy,All GHG,MtCO₂e,7.46,10.14,15.82,16.85,16.08,14.52,17.53,18.81,16.94,18.44,18.57,14.13,17.23,19.53,16.0,16.75,16.72,16.67,14.74,15.16,14.86,15.42,16.33,17.82,17.47,16.46,18.63,18.33,22.96,32.24,34.93
ETH,Ethiopia,Climate Watch,Energy,All GHG,MtCO₂e,27.91,27.21,26.27,25.05,24.35,22.23,22.23,19.94,18.39,17.64,16.43,16.18,15.83,15.1,14.22,13.67,13.8,13.31,12.7,12.29,11.21,10.7,10.48,10.09,9.71,9.22,8.74,8.23,7.6,8.21,7.96
FIN,Finland,Climate Watch,Energy,All GHG,MtCO₂e,37.34,42.11,45.5,44.1,46.79,43.97,47.36,51.35,50.54,56.14,63.69,55.3,57.59,66.06,68.04,56.39,68.71,72.79,64.44,62.01,55.95,57.39,58.19,61.54,63.53,57.0,60.86,54.32,52.99,55.75,55.01
FJI,Fiji,Climate Watch,Energy,All GHG,MtCO₂e,1.03,1.39,1.39,1.33,1.2,1.26,1.21,1.07,0.99,1.06,1.13,0.77,0.86,1.13,1.2,1.07,1.32,1.04,0.88,1.04,0.8,0.75,0.73,0.75,0.77,0.71,0.71,0.71,0.72,0.69,0.68
FRA,France,Climate Watch,Energy,All GHG,MtCO₂e,268.76,302.32,308.75,319.97,316.01,313.04,307.22,340.21,339.57,335.28,349.32,345.03,358.18,362.16,371.02,380.68,377.91,377.31,371.32,377.27,373.64,375.71,381.8,360.19,369.22,353.0,344.91,350.72,369.32,380.54,354.74
FSM,Micronesia,Climate Watch,Energy,All GHG,MtCO₂e,0.11,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.11,0.15,0.12,0.14,0.12,0.12,0.15,0.17,0.16,0.17,0.19,0.2,0.21,0.2,0.19,0.18,0.16,0.15,0.14,0.0,0.0
GAB,Gabon,Climate Watch,Energy,All GHG,MtCO₂e,11.89,12.16,11.34,12.0,13.86,13.67,13.44,13.14,13.19,13.65,13.89,13.12,13.24,12.75,13.48,15.02,15.37,15.96,14.59,15.35,15.42,16.21,17.45,16.53,16.72,15.77,14.58,13.39,13.24,13.22,12.09
GBR,United Kingdom,Climate Watch,Energy,All GHG,MtCO₂e,315.26,352.76,367.47,373.42,388.67,407.46,421.75,460.32,474.99,453.07,491.94,476.06,524.47,539.17,551.36,551.07,554.27,555.21,543.44,558.32,544.04,535.98,538.13,536.13,557.99,538.68,546.62,552.28,567.93,580.15,569.59
GEO,Georgia,Climate Watch,Energy,All GHG,MtCO₂e,10.35,10.61,10.1,10.32,10.37,10.0,9.37,8.78,7.94,7.32,6.42,6.78,6.2,7.04,6.14,5.67,5.32,5.4,4.89,5.5,7.74,7.5,8.04,8.66,9.59,11.27,14.28,21.0,25.66,32.11,40.99
GHA,Ghana,Climate Watch,Energy,All GHG,MtCO₂e,21.94,20.58,19.04,17.37,16.19,16.08,15.03,15.48,14.26,12.17,11.27,10.18,8.82,9.23,8.63,7.18,6.83,7.3,7.65,6.46,6.03,7.23,6.81,4.93,4.77,4.44,4.13,3.84,3.77,3.33,3.55
GIN,Guinea,Climate Watch,Energy,All GHG,MtCO₂e,4.54,4.52,3.74,3.32,2.81,2.52,2.23,2.16,2.47,2.62,2.5,2.12,2.01,1.98,1.9,1.84,1.77,1.71,1.63,1.57,1.49,1.43,1.36,1.29,1.23,1.16,1.12,1.09,1.06,1.02,1.0
GMB,Gambia,Climate Watch,Energy,All GHG,MtCO₂e,0.61,0.61,0.6,0.6,0.59,0.59,0.51,0.43,0.45,0.45,0.43,0.48,0.43,0.41,0.36,0.33,0.31,0.3,0.3,0.31,0.24,0.26,0.24,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.19
GNB,Guinea-Bissau,Climate Watch,Energy,All GHG,MtCO₂e,0.33,0.33,0.32,0.31,0.31,0.28,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.15,0.15,0.15,0.19,0.17,0.2,0.18,0.19,0.18,0.19,0.18,0.17,0.17
