ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
COL,Colombia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,22.05,19.28,18.23,16.07,22.88,21.94,19.87,19.06,15.4,13.72,17.68,17.31,11.09,12.61,12.4,12.97,12.38,13.72,13.44,13.97,13.73,12.02,16.3,14.61,11.98,14.1,12.46,14.14,13.65,12.98,12.49
COM,Comoros,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.1,0.1,0.09,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01
CPV,Cape Verde,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.28,0.28,0.26,0.27,0.24,0.22,0.22,0.21,0.21,0.24,0.24,0.21,0.21,0.15,0.2,0.17,0.16,0.15,0.14,0.11,0.09,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03
CRI,Costa Rica,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.03,0.07,0.11,0.03,0.14,0.11,0.78,0.86,0.6,0.68,0.61,0.44,0.68,0.74,0.57,0.29,0.13,0.23,0.19,0.19,0.06,0.13,0.37,0.29,0.52,0.87,0.91,0.5,0.67,0.26,0.19
CUB,Cuba,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,14.13,14.25,15.22,14.91,16.64,16.83,16.27,15.68,15.66,15.04,14.32,14.21,13.92,13.6,13.15,13.15,13.34,13.53,12.94,9.71,11.0,10.4,10.84,10.98,11.64,11.08,10.52,9.3,9.18,11.15,12.95
CYP,Cyprus,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,3.02,3.26,3.31,3.28,3.27,3.01,2.92,2.81,3.53,3.72,3.86,4.02,3.97,3.8,3.61,3.53,3.35,3.56,3.04,2.88,3.0,2.86,2.68,2.44,2.31,2.19,2.4,2.27,2.15,1.85,1.78
CZE,Czech Republic,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,46.53,53.98,58.07,58.52,59.61,58.87,59.03,60.81,64.18,67.45,68.67,65.21,68.77,73.93,69.83,69.82,70.18,70.33,70.55,72.05,71.51,63.68,68.66,72.23,73.36,68.46,65.74,65.45,67.36,69.44,70.88
DEU,Germany,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,226.87,263.44,312.21,329.67,347.97,348.31,352.34,371.86,367.25,356.24,363.66,345.0,373.01,394.59,381.45,377.65,381.25,385.96,380.43,378.92,365.66,360.66,375.82,375.81,391.75,381.06,386.63,386.09,394.43,411.11,413.56
DJI,Djibouti,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.05,0.05,0.05,0.04,0.07,0.14,0.08,0.29,0.25,0.26,0.29,0.25,0.26,0.24,0.21,0.21,0.17,0.19,0.17,0.14,0.14,0.14,0.15,0.12,0.11,0.13,0.12,0.12,0.12,0.11,0.1
DMA,Dominica,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.09,0.09,0.07,0.09,0.1,0.1,0.1,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.08,0.07,0.06,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01
