ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
COM,Comoros,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPV,Cape Verde,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI,Costa Rica,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.44,1.48,1.47,1.42,1.3,1.39,1.3,1.23,1.16,1.1,1.01,1.3,1.27,1.33,0.95,1.17,0.95,0.79,0.81,0.8,0.72,0.73,0.7,0.62,0.56,0.41,0.44,0.4,0.33,0.33,0.29
CUB,Cuba,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.13,1.26,1.31,1.19,1.18,1.14,1.15,1.32,1.32,1.27,1.22,1.3,1.33,1.4,1.35,1.26,1.12,1.1,1.15,0.95,0.95,1.03,0.98,1.05,0.82,0.81,0.68,0.86,1.13,1.69,2.58
CYP,Cyprus,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.16,1.09,1.17,1.26,1.24,1.24,1.32,1.09,0.84,0.86,0.84,0.93,1.05,1.01,1.0,0.93,0.94,0.86,0.87,0.83,0.84,0.81,0.8,0.83,0.86,0.8,0.83,0.79,0.73,0.67,0.71
CZE,Czech Republic,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.71,5.01,5.11,5.19,5.38,5.12,4.81,4.42,4.65,4.64,4.21,4.17,4.67,4.49,3.97,3.67,3.64,3.29,3.12,3.37,3.59,3.41,3.67,3.56,3.48,3.36,3.42,3.19,3.67,1.01,1.39
DEU,Germany,Climate Watch,Industrial Processes,All GHG,MtCO₂e,23.74,24.45,25.16,26.12,26.15,26.38,26.52,26.07,26.85,27.18,26.27,34.21,34.8,37.38,33.68,33.52,35.95,33.51,32.51,32.17,30.67,31.45,35.75,47.79,49.92,49.02,50.89,47.74,47.86,44.9,46.45
DJI,Djibouti,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.14,0.14,0.13,0.1,0.08,0.09,0.09,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,Dominica,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,Denmark,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.75,1.71,1.79,1.87,1.82,1.68,1.69,1.74,1.75,1.82,1.7,1.87,2.4,2.74,2.78,2.81,2.92,3.07,3.0,3.04,3.11,2.91,2.69,2.55,2.53,2.41,2.15,2.07,1.99,1.96,1.83
DOM,Dominican Republic,Climate Watch,Industrial Processes,All GHG,MtCO₂e,3.51,3.62,3.44,3.28,3.15,3.06,2.9,2.51,2.37,2.24,2.2,2.05,2.15,2.07,1.91,1.47,1.4,1.49,1.53,1.39,1.27,1.15,0.95,0.9,0.78,0.67,0.59,0.58,0.62,0.56,0.48
DZA,Algeria,Climate Watch,Industrial Processes,All GHG,MtCO₂e,17.73,18.59,17.96,18.01,16.76,15.43,14.41,13.41,13.19,13.05,12.49,12.01,10.93,9.9,9.0,7.68,6.66,5.55,5.32,4.78,4.55,4.12,4.07,3.82,3.49,3.58,3.23,3.56,3.73,3.86,4.05
ECU,Ecuador,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2.94,3.1,3.14,3.03,2.92,2.98,3.22,3.18,2.87,2.7,2.5,2.48,2.55,2.13,1.99,1.79,1.7,1.53,1.49,1.45,1.39,1.15,1.27,1.38,1.42,1.22,1.02,0.99,1.05,1.07,1.05
EGY,Egypt,Climate Watch,Industrial Processes,All GHG,MtCO₂e,28.83,30.03,31.02,31.45,32.16,30.65,30.26,30.21,31.47,31.11,32.02,30.54,25.83,25.8,23.34,20.98,19.45,18.59,19.35,18.31,17.66,17.08,15.81,15.0,14.33,13.64,12.89,12.83,13.29,13.0,11.87
ERI,Eritrea,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.18,0.18,0.17,0.14,0.13,0.12,0.13,0.13,0.12,0.09,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0
ESP,Spain,Climate Watch,Industrial Processes,All GHG,MtCO₂e,15.82,17.38,18.67,19.14,19.79,19.79,26.0,24.8,25.89,26.79,29.26,29.67,34.1,35.62,33.6,31.13,29.12,28.9,26.51,27.6,30.81,29.14,26.37,25.28,23.27,22.51,19.92,16.41,17.79,18.57,19.91
EST,Estonia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.2,0.49,0.51,0.53,0.43,0.43,0.64,0.61,0.61,0.61,0.49,0.42,0.76,0.77,0.57,0.51,0.49,0.45,0.46,0.48,0.46,0.43,0.46,0.44,0.4,0.38,0.36,0.25,0.34,0.01,0.01
ETH,Ethiopia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.55,4.46,4.36,4.15,3.86,3.42,2.57,2.16,1.72,1.11,0.9,0.89,0.92,0.82,0.85,0.76,0.66,0.58,0.48,0.47,0.46,0.35,0.38,0.36,0.32,0.27,0.21,0.16,0.14,0.13,0.15
FIN,Finland,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.84,1.95,2.07,2.17,2.22,2.19,2.17,2.19,2.14,2.14,2.13,2.57,3.53,3.3,3.17,3.25,3.02,2.78,2.66,2.56,2.58,2.39,2.29,2.25,2.1,2.02,1.9,1.75,1.81,2.05,2.44
FJI,Fiji,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.1,0.09,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03
FRA,France,Climate Watch,Industrial Processes,All GHG,MtCO₂e,21.31,23.3,24.57,25.74,27.27,27.05,27.33,27.67,27.88,28.35,27.85,28.31,30.46,31.27,30.62,30.22,29.87,31.75,30.91,29.76,28.49,29.54,33.07,38.97,38.74,36.81,37.25,38.16,38.74,38.85,39.32
FSM,Micronesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAB,Gabon,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.72,1.62,1.49,1.33,1.21,1.04,0.94,0.84,0.76,0.68,0.58,0.54,0.49,0.44,0.41,0.36,0.35,0.34,0.32,0.31,0.28,0.24,0.22,0.19,0.15,0.11,0.09,0.08,0.07,0.06,0.05
GBR,United Kingdom,Climate Watch,Industrial Processes,All GHG,MtCO₂e,16.4,18.07,19.1,20.26,21.52,22.07,22.05,21.59,21.07,21.31,23.52,22.43,24.88,25.72,24.64,24.55,24.25,24.34,23.1,24.46,25.04,26.14,44.4,47.04,43.79,42.49,42.68,40.76,43.68,48.62,49.39
GEO,Georgia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2.05,2.13,1.87,1.9,1.81,1.8,1.71,1.67,1.6,1.55,1.27,1.22,1.01,0.96,0.91,0.82,0.72,0.53,0.52,0.51,0.67,0.6,0.48,0.38,0.32,0.26,0.34,0.51,0.68,0.57,0.66
GHA,Ghana,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.49,1.38,1.27,1.16,1.06,0.96,0.87,0.77,0.69,0.59,0.49,0.44,0.4,0.35,0.31,0.27,0.27,0.28,0.29,0.28,0.27,0.3,0.27,0.6,0.5,0.47,0.54,0.66,0.66,0.59,0.58
GIN,Guinea,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.57,1.46,1.34,1.23,1.11,1.0,0.9,0.8,0.7,0.6,0.51,0.46,0.41,0.36,0.31,0.26,0.25,0.24,0.23,0.22,0.2,0.17,0.14,0.11,0.08,0.04,0.04,0.03,0.02,0.01,0.0
GMB,Gambia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.22,0.41,0.61,0.8,1.0,0.8,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0
GNB,Guinea-Bissau,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.19,0.18,0.16,0.15,0.13,0.12,0.11,0.1,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
GNQ,Equatorial Guinea,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.38,0.35,0.32,0.3,0.27,0.24,0.22,0.19,0.17,0.15,0.12,0.11,0.1,0.09,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.0,0.0,0.0
GRC,Greece,Climate Watch,Industrial Processes,All GHG,MtCO₂e,7.59,8.41,8.92,9.63,10.17,9.65,9.87,9.58,8.7,7.78,9.23,9.64,11.49,11.92,12.13,12.6,12.02,11.86,12.22,12.19,12.8,14.06,13.15,12.69,12.36,11.57,9.69,9.04,8.26,8.33,8.34
GRD,Grenada,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,Guatemala,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.76,1.59,1.62,1.74,1.68,1.77,1.68,1.44,1.38,1.35,1.31,0.78,1.17,1.16,1.11,1.11,1.02,0.93,0.93,0.93,0.9,0.74,0.69,0.59,0.5,0.52,0.54,0.5,0.62,0.64,0.74
GUY,Guyana,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.26,0.25,0.25,0.24,0.23,0.1,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
HND,Honduras,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2.08,2.12,2.1,2.08,1.86,1.71,1.56,1.5,1.48,1.29,1.13,1.11,1.07,1.02,0.94,0.79,0.78,0.72,0.69,0.71,0.69,0.54,0.48,0.51,0.45,0.33,0.29,0.33,0.3,0.31,0.29
HRV,Croatia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.69,1.69,1.75,1.85,1.67,1.94,1.93,1.84,2.14,2.28,2.4,2.23,2.67,2.73,2.61,2.5,2.72,2.76,3.02,3.3,3.48,3.81,4.01,4.67,5.08,5.63,5.01,3.94,3.45,1.56,2.04
